city county,target,ap,grow_fi,grow_fsd,hos,popu_pgr,popu_poep,popu_mip,popu_om,cpp,housing_noh,lta,ahr,v,wsc,scr,p,ic,ahs,psap,sosang,so,jungso,jung,dae,er_sgg_man,er_sgg_woman,lfpr_sgg_man,lfpr_sgg_woman,bid,wgr,clc,spfm,pspti,cpp,pls,pol,fir,rsrs_tr,rsrs_fi,rsrs_ci,rsrs_li,rsrs_su,rsrs_in,gre,npptp,hbtp,s10
sejong city,1,24267,72.7,76.4,0,8.53,9.28,7825,5368,30.1,132257,14125,6.2,12.4,96.8,94.8,100,10.6,17.7,28.5,43725,17585,73177,11867,10710,73.7,51.4,75.5,53.1,15.7,12.9,71.7,14.26,1.8,6.3,47.4,5.2,5.8,5,5,1,5,2,2,69.16,1.5,4.2,7.6
seocheon-gun,0,9100,13.1,61.3,12.7,-1.96,33.59,345,406,33.3,24917,6908,43.1,15.8,83.8,56.3,95.1,8.5,45,22.3,10405,4015,15392,972,679,18.2,13.7,79.5,58.7,2.9,3,57.4,6.86,1,15,22.9,5.2,6.3,3,5,3,4,4,4,59.51,2.1,22,24.6
seosan city,0,13067,39.5,70.1,0,0.3,17.21,2134,2062,29.9,72837,14586,16.6,14.8,96.9,78.3,98.4,18.3,81.3,56.9,28038,15521,51816,8257,9935,61.8,39.5,82.4,55.4,3.6,3.3,64.2,15.76,1.3,5.7,41.7,6.5,7.1,4,4,3,4,4,3,53.47,1.6,6.1,16
taean-gun,0,12650,19.7,65.9,10.1,-0.72,28.54,500,603,34.2,28249,10918,27.9,15.1,92.6,58.4,85,48.9,113.1,38.3,13998,3606,19185,1581,3170,21.9,17.8,80.4,66.9,2.7,2.4,51.9,8.04,0.8,15.1,18.4,7.1,9.6,3,4,5,5,5,2,69.76,1.7,6.9,25.5
yeongdong-gun,0,8800,16.7,69.2,2.3,-1.44,29.06,384,663,35.2,21104,8475,37.3,12.4,79.9,70,87.3,14.7,47.7,36.6,7164,2332,10368,872,,14.7,11.5,70.4,51.7,1.4,-1.9,63.9,13.86,0.9,11.8,21.9,7.1,12.8,2,2,3,3,2,4,79.19,2.1,14.8,57.5
yesan-gun,0,8400,13.8,57.6,0.1,-0.97,28.86,763,737,31,35439,10264,31.8,14.5,74.2,60.1,91.7,8.7,47.3,32.7,14749,6835,26681,5097,1608,25.7,20.7,72.4,58.9,1.6,2.2,67.5,8.63,0.9,9,18.1,5.8,8.3,4,2,4,2,3,2,69.75,1.7,5.4,31.6
asan city,1,11033,38.8,59.9,6.5,0.01,12.8,3659,3855,33.4,126319,16406,10.6,12.5,97.6,86,98.5,18.3,18.9,37.03,54132,36137,117161,26892,18510,115.1,67.6,77.6,50.4,2.9,3.9,75.1,17.98,1.3,12,63.9,5.21,6.7,3,2,4,3,3,3,54.09,1.8,10.7,16.1
boeun-gun,0,7700,13.8,64.6,15.1,-1.62,33.3,269,274,35.5,15702,9482,46.6,15.6,53.5,77.8,91.9,10.8,50.2,28.38,6377,2433,9710,900,,10.7,8.8,76.5,61.9,0.2,4.2,59.6,5.95,0.6,5,18.1,6.13,9.8,4,4,3,3,4,2,61.25,2.2,22.9,15.4
boryeong city,1,10933,14.2,65.9,4.9,-1.03,24.9,1376,1537,32.4,44089,12470,29.8,12.7,89.3,76.6,95.8,13,69.3,28.99,20995,7003,32744,4746,3568,32.7,23.2,74.6,54.7,1.8,5.7,57.7,11.09,1.2,17.2,27.6,5.76,7.3,4,5,2,5,5,4,63.12,1.8,9.9,19
buyeo-gun,0,10250,14.2,61.3,0.3,-2.22,33.2,534,541,33.9,29661,13626,44.7,12.2,87,66,90.6,12.7,31,25.89,11443,3457,16403,1503,,20.5,18.4,73.9,61.9,1.5,0.6,61,7.66,0.8,27.2,23.9,5.59,7.3,3,4,3,2,4,4,90.02,1.9,17.5,30.6
